,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Christian Benteke,17.0,be BEL,FW,26-252,90,0,0,0,1,1,0,0,0,0,0,0,0,1,9,6,60.0
1,Wilfried Zaha,11.0,ci CIV,AM,24-275,90,0,0,0,1,4,0,2,0,0,0,0,0,4,1,0,100.0
2,Ruben Loftus-Cheek,8.0,eng ENG,"CM,AM",21-201,90,0,0,0,0,6,0,1,3,2,0,0,0,6,1,1,50.0
3,Jason Puncheon,42.0,eng ENG,CM,31-055,90,1,0,0,1,1,0,5,2,1,0,0,0,4,0,1,0.0
4,Luka Milivojević,4.0,rs SRB,CM,26-127,45,0,0,0,0,2,0,0,2,0,0,0,0,6,1,1,50.0
5,Andros Townsend,10.0,eng ENG,AM,26-027,45,0,0,0,0,1,0,4,0,2,0,0,0,1,0,0,
6,Patrick van Aanholt,3.0,nl NED,WB,26-348,90,0,0,0,4,2,0,10,2,2,0,0,0,4,0,0,
7,Joel Ward,2.0,eng ENG,WB,27-287,90,0,0,0,0,2,0,5,3,6,0,0,1,7,1,0,100.0
8,Jaïro Riedewald,44.0,nl NED,CB,20-337,90,0,0,0,0,0,0,0,1,2,0,0,0,2,2,0,100.0
9,Scott Dann,6.0,eng ENG,CB,30-179,90,0,0,0,0,0,0,0,3,1,0,0,0,9,0,3,0.0
10,Timothy Fosu-Mensah,24.0,nl NED,CB,19-222,77,0,0,0,0,0,0,0,2,3,0,0,0,4,3,3,50.0
11,James Tomkins,5.0,eng ENG,CB,28-136,13,0,0,0,0,0,0,0,1,0,0,0,0,2,0,1,0.0
12,Wayne Hennessey,13.0,wls WAL,GK,30-200,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
13,13 Players,,,,,990,1,0,0,7,19,0,27,19,19,0,0,1,52,18,16,52.9
