,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Manolo Gabbiadini,20.0,it ITA,FW,25-266,79,1,0,0,0,2,1,0,0,29,0,0,1,0.1,0.1,0.0,2,1,19,22,86.4,3,16,0,1,0
1,Charlie Austin,10.0,eng ENG,FW,28-045,11,1,0,1,1,0,0,0,0,7,0,0,0,0.8,0.0,0.0,1,0,4,5,80.0,0,4,0,0,0
2,Nathan Redmond,22.0,eng ENG,LW,23-166,90,0,1,0,0,4,1,0,0,41,1,0,0,0.1,0.1,0.1,5,2,25,35,71.4,5,35,2,1,1
3,Dušan Tadić,11.0,rs SRB,"RW,AM",28-272,90,1,0,1,1,1,1,1,0,61,0,1,1,0.8,0.0,0.1,4,0,36,52,69.2,11,46,5,1,0
4,Steven Davis,8.0,nir NIR,"AM,DM",32-230,79,0,0,0,0,1,0,0,0,68,2,0,1,0.1,0.1,0.0,7,1,59,64,92.2,11,48,5,1,1
5,Shane Long,7.0,ie IRL,DM,30-209,11,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,4,5,80.0,0,6,0,0,0
6,Mario Lemina,18.0,ga GAB,DM,23-352,64,0,0,0,0,0,0,0,0,61,2,1,0,0.0,0.0,0.0,1,0,45,53,84.9,7,44,2,0,0
7,James Ward-Prowse,16.0,eng ENG,RW,22-291,26,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.1,3,1,22,28,78.6,8,18,2,0,0
8,Oriol Romeu,14.0,es ESP,DM,25-329,90,0,0,0,0,2,0,0,0,113,1,2,2,0.0,0.0,0.0,1,0,90,102,88.2,14,79,7,0,0
9,Ryan Bertrand,21.0,eng ENG,LB,28-014,90,0,0,0,0,0,0,0,0,75,1,1,0,0.0,0.0,0.0,1,0,57,70,81.4,5,50,2,1,0
10,Maya Yoshida,3.0,jp JPN,CB,28-360,90,0,0,0,0,0,0,0,0,68,2,1,2,0.0,0.0,0.0,1,1,49,60,81.7,4,45,1,0,0
11,Jack Stephens,5.0,eng ENG,CB,23-204,90,0,0,0,0,0,0,0,0,55,0,1,1,0.0,0.0,0.0,0,0,44,48,91.7,3,36,1,0,0
12,Cédric Soares,2.0,pt POR,RB,25-353,90,0,0,0,0,2,0,0,0,57,1,1,0,0.1,0.1,0.0,2,0,37,49,75.5,3,29,2,1,1
13,Fraser Forster,44.0,eng ENG,GK,29-155,90,0,0,0,0,0,0,0,0,25,0,0,0,0.0,0.0,0.0,0,0,14,20,70.0,0,10,0,0,0
14,14 Players,,,,,990,3,1,2,2,12,3,1,0,694,10,8,8,2.1,0.5,0.4,28,6,505,613,82.4,74,466,29,6,3
