,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Alexandre Lacazette,9.0,fr FRA,FW,26-083,77,39,37,2,0,1,0,1,0,0,0,0,0,29,0,2
1,Theo Walcott,14.0,eng ENG,RW,28-156,13,3,3,0,0,0,0,0,0,0,0,0,0,3,0,0
2,Danny Welbeck,23.0,eng ENG,"AM,LW",26-266,90,24,24,0,0,0,0,0,0,0,0,0,0,19,0,1
3,Mesut Özil,11.0,de GER,AM,28-308,90,103,96,6,1,2,1,2,1,4,0,2,0,94,1,2
4,Granit Xhaka,29.0,ch SUI,CM,24-326,78,106,101,5,0,2,3,5,0,5,3,1,0,86,0,0
5,Alex Iwobi,17.0,ng NGA,DM,21-108,12,24,24,0,0,0,0,0,0,0,0,0,0,22,0,0
6,Aaron Ramsey,8.0,wls WAL,"CM,DM",26-236,90,85,84,1,0,0,1,2,1,0,0,0,0,74,0,0
7,Héctor Bellerín,24.0,es ESP,"WB,LB",22-153,90,77,63,14,1,1,1,0,13,0,0,0,0,66,0,2
8,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",24-004,90,63,55,7,2,0,0,8,5,0,0,0,0,52,1,1
9,Sead Kolašinac,31.0,ba BIH,CB,24-060,65,58,56,2,1,0,1,0,1,0,0,0,0,52,0,0
10,Olivier Giroud,12.0,fr FRA,"FW,CB",30-323,25,7,6,0,0,1,0,1,0,0,0,0,0,3,1,0
11,Nacho Monreal,18.0,es ESP,CB,31-174,90,83,81,2,2,0,0,2,0,0,0,0,0,76,0,1
12,Shkodran Mustafi,20.0,de GER,CB,25-124,90,89,88,1,1,0,0,3,0,0,0,0,0,76,0,1
13,Petr Čech,33.0,cz CZE,GK,35-091,90,24,15,9,2,0,0,0,0,0,0,0,0,22,0,0
14,14 Players,,,,,990,785,733,49,10,7,7,24,21,9,3,3,0,674,3,10
