,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Steve Mounié,24.0,bj BEN,FW,22-317,85,0,0,0,0,0,0,3,0.0,3,1,0,1,0,0,5,0
1,Rajiv van La Parra,17.0,nl NED,"LW,FW",26-069,5,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
2,Tom Ince,22.0,eng ENG,"LW,AM",25-194,90,4,2,1,3,0,1,3,33.3,2,3,0,3,0,4,1,0
3,Elias Kachunga,9.0,cd COD,"RW,FW",25-112,90,6,5,3,2,1,0,0,,0,1,1,0,0,6,1,0
4,Kasey Palmer,45.0,jm JAM,AM,20-276,71,1,0,0,1,0,0,2,0.0,2,0,0,0,0,1,1,0
5,Collin Quaner,23.0,de GER,"AM,RW",26-055,19,0,0,0,0,0,0,0,,0,1,0,1,0,0,1,0
6,Philip Billing,8.0,dk DEN,DM,21-062,90,2,2,1,0,1,0,5,0.0,5,0,0,0,1,3,6,0
7,Aaron Mooy,10.0,au AUS,DM,26-331,90,4,1,3,1,0,0,0,,0,1,0,1,3,7,2,0
8,Chris Löwe,15.0,de GER,LB,28-118,90,5,3,1,3,1,2,5,40.0,3,1,0,1,0,5,3,0
9,Christopher Schindler,26.0,de GER,CB,27-105,90,3,3,3,0,0,1,1,100.0,0,0,0,0,1,4,3,0
10,Mathias Jørgensen,25.0,dk DEN,CB,27-111,90,0,0,0,0,0,0,2,0.0,2,1,1,0,3,3,6,0
11,Tommy Smith,2.0,eng ENG,RB,25-120,56,2,2,2,0,0,0,0,,0,1,0,1,1,3,3,0
12,Danny Williams,19.0,us USA,RB,28-157,34,1,1,1,0,0,1,1,100.0,0,2,1,1,0,1,0,0
13,Jonas Lössl,1.0,dk DEN,GK,28-192,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
14,14 Players,,,,,990,28,19,15,10,3,5,23,21.7,18,12,3,9,9,37,32,0
