,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Jamie Vardy,9.0,eng ENG,FW,30-220,89,0,0,0,0,1,0,2,0,1,0,0,0,1,0,6,0.0
1,Demarai Gray,7.0,eng ENG,FW,21-052,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,
2,Shinji Okazaki,20.0,jp JPN,FW,31-125,75,0,0,0,1,1,1,0,0,0,0,0,0,3,0,3,0.0
3,Islam Slimani,19.0,dz ALG,FW,29-062,15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0.0
4,Marc Albrighton,11.0,eng ENG,LM,27-274,90,0,0,0,0,2,0,7,0,2,0,0,0,2,0,2,0.0
5,Matty James,22.0,eng ENG,CM,26-028,90,0,0,0,1,1,0,0,0,0,0,0,0,11,1,0,100.0
6,Wilfred Ndidi,25.0,ng NGA,CM,20-246,90,0,0,0,2,0,0,1,1,2,0,0,0,7,5,0,100.0
7,Riyad Mahrez,26.0,dz ALG,RM,26-179,90,0,0,0,0,2,0,6,2,0,0,0,0,8,0,1,0.0
8,Christian Fuchs,28.0,at AUT,LB,31-134,90,0,0,0,1,0,0,2,0,1,0,0,0,5,5,1,83.3
9,Harry Maguire,15.0,eng ENG,CB,24-167,90,0,0,0,0,2,0,0,1,0,0,0,0,8,3,2,60.0
10,Wes Morgan,5.0,jm JAM,CB,33-210,90,1,0,0,2,1,0,0,0,2,0,0,0,1,1,0,100.0
11,Danny Simpson,2.0,eng ENG,RB,30-227,90,0,0,0,1,0,0,1,2,1,0,0,0,4,2,0,100.0
12,Kasper Schmeichel,1.0,dk DEN,GK,30-287,90,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,
13,13 Players,,,,,990,1,0,0,8,10,1,19,6,9,0,0,0,51,17,16,51.5
