,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Tammy Abraham,10.0,eng ENG,"FW,RW",19-314,80,7,7,0,0,0,0,0,0,0,0,0,0,6,0,0
1,Kyle Bartley,27.0,eng ENG,RW,26-082,10,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
2,Jordan Ayew,18.0,gh GHA,"FW,LW",25-335,90,23,22,1,0,0,0,1,1,0,0,0,0,16,0,2
3,Wayne Routledge,15.0,eng ENG,"AM,FW",32-217,85,19,18,1,0,0,0,1,0,0,0,0,0,13,0,0
4,Oliver McBurnie,62.0,sct SCO,FW,21-069,5,5,5,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Tom Carroll,14.0,eng ENG,LM,25-076,90,40,35,5,5,0,0,2,0,0,0,0,0,33,0,1
6,Leon Britton,7.0,eng ENG,CM,34-330,73,25,25,0,0,0,0,0,0,0,0,0,0,24,0,0
7,Jay Fulton,56.0,sct SCO,CM,23-133,17,4,4,0,0,0,0,0,0,0,0,0,0,3,0,0
8,Leroy Fer,8.0,nl NED,RM,27-219,90,40,39,1,1,0,0,0,0,0,0,0,0,35,0,1
9,Martin Olsson,16.0,se SWE,LB,29-087,90,43,36,7,0,0,1,4,7,0,0,0,0,26,0,0
10,Alfie Mawson,6.0,eng ENG,CB,23-205,90,41,38,2,2,0,2,0,0,0,0,0,0,35,1,0
11,Federico Fernández,33.0,ar ARG,CB,28-172,90,50,50,0,0,0,1,0,0,0,0,0,0,41,0,0
12,Kyle Naughton,26.0,eng ENG,RB,28-268,90,47,39,8,1,0,1,0,7,0,0,0,0,35,0,2
13,Łukasz Fabiański,1.0,pl POL,GK,32-116,90,44,21,23,1,0,0,0,0,0,0,0,0,29,0,0
14,14 Players,,,,,990,392,343,48,10,0,5,8,15,0,0,0,0,301,1,6
