,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Unnamed: 6_level_0,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Pass Types,Corner Kicks,Corner Kicks,Corner Kicks,Outcomes,Outcomes,Outcomes
,Player,#,Nation,Pos,Age,Min,Att,Live,Dead,FK,TB,Sw,Crs,TI,CK,In,Out,Str,Cmp,Off,Blocks
0,Andre Gray,18.0,jm JAM,FW,26-054,90,19,19,0,0,0,0,1,0,0,0,0,0,12,0,3
1,Richarlison,11.0,br BRA,LW,20-101,79,22,22,0,0,0,0,2,0,0,0,0,0,15,0,2
2,Étienne Capoue,29.0,fr FRA,"CM,LW",29-039,11,4,4,0,0,0,0,0,0,0,0,0,0,4,0,0
3,Nordin Amrabat,7.0,ma MAR,RW,30-141,81,27,27,0,0,0,0,5,0,0,0,0,0,19,0,1
4,Christian Kabasele,27.0,be BEL,RB,26-176,9,1,1,0,0,0,0,0,0,0,0,0,0,1,0,0
5,Nathaniel Chalobah,14.0,eng ENG,"LM,FW",22-250,89,31,31,0,0,0,0,0,0,0,0,0,0,20,0,1
6,Ben Watson,23.0,eng ENG,CM,32-041,1,4,4,0,0,0,0,1,0,0,0,0,0,2,0,1
7,Abdoulaye Doucouré,16.0,ml MLI,"CM,DM",24-230,90,55,54,0,0,0,1,0,0,0,0,0,0,46,1,1
8,Tom Cleverley,8.0,eng ENG,"RM,LM",28-007,90,54,48,5,1,1,0,4,1,2,1,0,0,47,1,0
9,José Holebas,25.0,gr GRE,LB,33-053,90,42,23,19,0,0,0,5,16,3,0,1,0,31,0,1
10,Miguel Britos,3.0,uy URU,CB,32-033,90,32,29,1,1,0,1,0,0,0,0,0,0,25,2,0
11,Sebastian Prödl,5.0,at AUT,CB,30-059,90,26,25,0,0,0,0,0,0,0,0,0,0,18,1,0
12,Kiko Femenía,21.0,es ESP,"RB,RM",26-198,90,45,36,9,0,0,0,2,9,0,0,0,0,37,0,1
13,Heurelho Gomes,1.0,br BRA,GK,36-185,90,36,23,11,4,0,0,0,0,0,0,0,0,18,2,0
14,14 Players,,,,,990,398,346,45,6,1,2,20,26,5,1,1,0,295,7,11
