,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Aerial Duels,Aerial Duels,Aerial Duels
,Player,#,Nation,Pos,Age,Min,CrdY,CrdR,2CrdY,Fls,Fld,Off,Crs,Int,TklW,PKwon,PKcon,OG,Recov,Won,Lost,Won%
0,Gabriel Jesus,33.0,br BRA,FW,20-131,77,1,0,0,2,0,0,1,0,0,0,0,0,4,0,3,0.0
1,Raheem Sterling,7.0,eng ENG,FW,22-247,13,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,
2,Sergio Agüero,10.0,ar ARG,FW,29-071,82,0,0,0,1,0,0,2,0,0,0,0,0,2,0,0,
3,Bernardo Silva,20.0,pt POR,FW,23-002,8,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,
4,Danilo,3.0,br BRA,LW,26-028,67,0,0,0,0,1,0,3,0,1,0,0,0,4,1,0,100.0
5,Leroy Sané,19.0,de GER,LW,21-213,23,0,0,0,2,0,0,1,0,1,0,0,0,0,0,0,
6,Kyle Walker,2.0,eng ENG,RW,27-076,90,0,0,0,0,1,0,3,0,0,0,0,0,5,3,2,60.0
7,David Silva,21.0,es ESP,CM,31-216,90,0,0,0,1,3,1,6,2,1,0,0,0,2,1,0,100.0
8,Kevin De Bruyne,17.0,be BEL,CM,26-045,90,0,0,0,0,0,0,8,0,2,0,0,0,5,1,0,100.0
9,Fernandinho,25.0,br BRA,DM,32-100,90,0,0,0,0,1,0,2,2,0,0,0,0,6,2,5,28.6
10,Nicolás Otamendi,30.0,ar ARG,CB,29-181,90,0,0,0,1,0,0,0,2,1,0,0,0,6,3,2,60.0
11,John Stones,5.0,eng ENG,CB,23-076,90,0,0,0,1,0,0,0,0,0,0,0,0,2,1,0,100.0
12,Vincent Kompany,4.0,be BEL,CB,31-124,90,0,0,0,0,0,0,0,3,0,0,0,0,3,1,1,50.0
13,Ederson,31.0,br BRA,GK,23-360,90,0,0,0,0,0,0,0,0,0,0,0,0,2,0,0,
14,14 Players,,,,,990,2,0,0,9,6,1,27,9,6,0,0,0,41,13,13,50.0
