,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Alexandre Lacazette,9.0,fr FRA,"FW,LW,LM",26-075,90,20,24,83.3,263,42,14,16,87.5,5,6,83.3,0,0,,0,0.4,0.2,3,0,2,1,3
1,Danny Welbeck,23.0,eng ENG,"AM,FW",26-258,74,16,21,76.2,190,33,13,16,81.3,2,2,100.0,0,0,,0,0.4,0.2,2,0,2,0,2
2,Theo Walcott,14.0,eng ENG,RW,28-148,16,1,2,50.0,11,0,1,1,100.0,0,1,0.0,0,0,,0,0.0,0.0,0,0,0,0,0
3,Mesut Özil,11.0,de GER,"AM,RM",28-300,90,70,86,81.4,981,163,45,48,93.8,18,21,85.7,3,6,50.0,0,0.6,0.2,6,4,2,0,6
4,Granit Xhaka,29.0,ch SUI,"CM,DM",24-318,90,86,106,81.1,1845,598,35,39,89.7,34,41,82.9,17,26,65.4,2,0.2,0.2,5,20,5,1,20
5,Mohamed Elneny,35.0,eg EGY,CM,25-031,66,65,72,90.3,949,232,36,41,87.8,24,26,92.3,2,2,100.0,1,0.1,0.2,2,6,1,0,4
6,Aaron Ramsey,8.0,wls WAL,"DM,CM",26-228,24,9,12,75.0,131,37,3,6,50.0,5,5,100.0,0,0,,0,0.0,0.1,1,0,1,0,1
7,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",23-361,90,48,67,71.6,985,289,23,27,85.2,14,18,77.8,11,16,68.8,0,0.1,0.0,2,7,2,1,6
8,Héctor Bellerín,24.0,es ESP,"WB,LB",22-145,90,61,70,87.1,922,231,37,41,90.2,22,24,91.7,2,4,50.0,0,0.0,0.0,2,3,0,0,3
9,Sead Kolašinac,31.0,ba BIH,CB,24-052,90,59,73,80.8,860,423,33,37,89.2,18,23,78.3,5,6,83.3,1,0.6,0.4,1,8,0,0,9
10,Nacho Monreal,18.0,es ESP,CB,31-166,90,54,57,94.7,1114,500,14,14,100.0,33,35,94.3,6,7,85.7,0,0.0,0.0,0,2,0,0,3
11,Rob Holding,16.0,eng ENG,CB,21-325,66,50,60,83.3,958,295,16,19,84.2,26,28,92.9,6,10,60.0,0,0.0,0.0,0,5,0,0,4
12,Olivier Giroud,12.0,fr FRA,FW,30-315,24,7,8,87.5,60,0,5,5,100.0,1,1,100.0,0,0,,0,0.2,0.1,1,0,0,0,0
13,Petr Čech,33.0,cz CZE,GK,35-083,90,19,23,82.6,513,373,1,1,100.0,12,12,100.0,6,10,60.0,0,0.0,0.0,0,0,0,0,1
14,14 Players,,,,,990,565,681,83.0,9782,3216,276,311,88.7,214,243,88.1,58,87,66.7,4,2.5,1.7,25,55,15,3,62
