,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Jay Rodriguez,19.0,eng ENG,"FW,LM",28-021,90,0,0,0,0,1,0,0,0,24,0,1,0,0.2,0.2,0.1,2,0,11,17,64.7,3,17,1,1,0
1,James McClean,14.0,ie IRL,LM,28-119,62,0,0,0,0,1,0,0,0,19,1,1,2,0.0,0.0,0.0,0,0,9,11,81.8,0,10,1,1,1
2,Hal Robson-Kanu,4.0,wls WAL,"FW,LM",28-090,20,1,0,0,0,2,1,0,1,7,1,0,1,0.2,0.2,0.0,2,2,2,3,66.7,0,6,1,2,2
3,Sam Field,28.0,eng ENG,CM,19-103,85,0,0,0,0,0,0,0,0,25,2,1,0,0.0,0.0,0.0,0,0,7,17,41.2,2,4,0,0,0
4,Salomón Rondón,9.0,ve VEN,CM,27-337,5,0,0,0,0,0,0,0,0,6,0,0,0,0.0,0.0,0.0,0,0,3,4,75.0,0,5,0,1,1
5,Jake Livermore,8.0,eng ENG,CM,27-278,90,0,0,0,0,1,0,0,0,24,0,0,1,0.0,0.0,0.0,3,0,13,20,65.0,2,9,0,1,1
6,Matt Phillips,10.0,sct SCO,RM,26-159,90,0,1,0,0,1,0,0,0,38,1,1,0,0.0,0.0,0.6,4,0,10,24,41.7,0,18,2,2,1
7,Gareth Barry,18.0,eng ENG,DM,36-177,90,0,0,0,0,0,0,0,0,39,1,1,2,0.0,0.0,0.0,0,0,15,24,62.5,4,9,0,0,0
8,Chris Brunt,11.0,nir NIR,LB,32-248,90,0,0,0,0,1,0,0,0,48,1,0,0,0.1,0.1,0.0,0,0,17,43,39.5,1,12,0,0,0
9,Ahmed Hegazi,26.0,eg EGY,CB,26-206,90,0,0,0,0,0,0,0,0,25,1,1,0,0.0,0.0,0.0,0,0,6,11,54.5,0,4,0,0,0
10,Craig Dawson,25.0,eng ENG,CB,27-105,90,0,0,0,0,1,0,0,0,32,0,2,2,0.3,0.3,0.0,1,0,14,23,60.9,0,12,0,0,0
11,Allan Nyom,2.0,cm CMR,RB,29-101,90,0,0,0,0,0,0,0,0,57,1,0,0,0.0,0.0,0.0,1,0,28,46,60.9,5,18,0,0,0
12,Ben Foster,1.0,eng ENG,GK,34-138,90,0,0,0,0,0,0,0,0,30,0,0,0,0.0,0.0,0.0,1,0,12,31,38.7,0,5,0,0,0
13,13 Players,,,,,982,1,1,0,0,8,1,0,1,374,9,8,8,0.9,0.9,0.7,14,2,147,274,53.6,17,129,5,8,6
