,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Performance,Expected,Expected,Expected,SCA,SCA,Passes,Passes,Passes,Passes,Carries,Carries,Take-Ons,Take-Ons
,Player,#,Nation,Pos,Age,Min,Gls,Ast,PK,PKatt,Sh,SoT,CrdY,CrdR,Touches,Tkl,Int,Blocks,xG,npxG,xAG,SCA,GCA,Cmp,Att,Cmp%,PrgP,Carries,PrgC,Att,Succ
0,Harry Kane,10.0,eng ENG,FW,24-016,90,0,0,0,0,6,1,1,0,30,0,0,0,1.3,1.3,0.1,6,2,15,17,88.2,1,18,1,3,1
1,Christian Eriksen,23.0,dk DEN,"LW,RW,AM",25-180,90,0,2,0,0,6,3,0,0,87,1,0,0,0.2,0.2,1.1,7,2,62,76,81.6,11,65,6,1,1
2,Moussa Sissoko,17.0,fr FRA,RW,27-362,57,0,0,0,0,1,0,0,0,38,3,0,0,0.1,0.1,0.1,2,0,22,29,75.9,2,22,2,3,1
3,Son Heung-min,7.0,kr KOR,"LW,RW",25-036,33,0,0,0,0,0,0,0,0,28,0,0,0,0.0,0.0,0.4,2,0,23,26,88.5,6,18,1,1,1
4,Dele Alli,20.0,eng ENG,AM,21-124,81,1,0,0,0,2,1,0,0,47,2,1,1,0.7,0.7,0.0,0,0,24,30,80.0,1,32,1,1,0
5,Victor Wanyama,12.0,ke KEN,"DM,AM",26-049,9,0,0,0,0,0,0,0,0,11,0,1,0,0.0,0.0,0.0,0,0,8,10,80.0,0,7,0,0,0
6,Mousa Dembélé,19.0,be BEL,"DM,AM",30-028,89,0,0,0,0,1,0,0,0,93,2,0,1,0.0,0.0,0.0,2,0,83,86,96.5,8,72,4,4,4
7,Harry Winks,29.0,eng ENG,"RW,AM",21-192,1,0,0,0,0,0,0,0,0,7,1,0,0,0.0,0.0,0.0,0,0,6,6,100.0,0,5,0,0,0
8,Eric Dier,15.0,eng ENG,DM,23-210,90,0,0,0,0,1,0,0,0,100,2,2,2,0.0,0.0,0.0,0,0,79,90,87.8,9,56,0,1,1
9,Ben Davies,33.0,wls WAL,LB,24-111,90,1,0,0,0,1,1,1,0,107,1,0,0,0.1,0.1,0.1,4,0,85,98,86.7,7,54,2,0,0
10,Jan Vertonghen,5.0,be BEL,CB,30-111,90,0,0,0,0,0,0,0,0,93,1,1,0,0.0,0.0,0.0,2,0,77,87,88.5,4,48,3,0,0
11,Toby Alderweireld,4.0,be BEL,CB,28-164,90,0,0,0,0,0,0,0,0,111,1,0,0,0.0,0.0,0.0,1,0,93,102,91.2,10,69,0,0,0
12,Kyle Walker-Peters,37.0,eng ENG,RB,20-122,90,0,0,0,0,0,0,0,0,78,2,0,1,0.0,0.0,0.1,4,0,58,67,86.6,6,44,5,3,1
13,Hugo Lloris,1.0,fr FRA,GK,30-230,90,0,0,0,0,0,0,0,0,35,0,0,0,0.0,0.0,0.0,0,0,28,32,87.5,0,20,0,0,0
14,14 Players,,,,,990,2,2,0,0,18,6,2,0,865,16,5,5,2.5,2.5,1.9,30,4,663,756,87.7,65,530,25,17,10
