,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Jay Rodriguez,19.0,eng ENG,"FW,RM",28-014,87,0,0,0,0,0,0,1,0.0,1,1,0,1,0,0,0,0
1,Salomón Rondón,9.0,ve VEN,FW,27-330,3,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
2,James McClean,14.0,ie IRL,LM,28-112,90,7,6,2,5,0,1,1,100.0,0,1,1,0,0,7,2,0
3,Sam Field,28.0,eng ENG,CM,19-096,69,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,2,0
4,Rekeem Harper,34.0,eng ENG,CM,17-157,21,1,1,0,1,0,0,0,,0,0,0,0,0,1,0,0
5,Jake Livermore,8.0,eng ENG,CM,27-271,90,3,2,2,1,0,0,0,,0,1,0,1,0,3,1,0
6,Matt Phillips,10.0,sct SCO,RM,26-152,71,0,0,0,0,0,0,0,,0,1,0,1,1,1,3,0
7,Hal Robson-Kanu,4.0,wls WAL,"FW,RM",28-083,19,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
8,Claudio Yacob,5.0,ar ARG,DM,30-025,90,2,1,1,1,0,1,3,33.3,2,0,0,0,2,4,4,0
9,Chris Brunt,11.0,nir NIR,LB,32-241,90,3,3,3,0,0,1,1,100.0,0,0,0,0,0,3,2,0
10,Ahmed Hegazi,26.0,eg EGY,CB,26-199,90,0,0,0,0,0,0,0,,0,1,1,0,3,3,10,0
11,Craig Dawson,25.0,eng ENG,CB,27-098,90,0,0,0,0,0,0,0,,0,2,2,0,7,7,4,0
12,Allan Nyom,2.0,cm CMR,RB,29-094,90,2,2,0,2,0,1,1,100.0,0,1,1,0,1,3,2,0
13,Ben Foster,1.0,eng ENG,GK,34-131,90,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
14,14 Players,,,,,990,19,15,9,10,0,4,9,44.4,5,8,5,3,14,33,30,0
