,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Christian Benteke,17.0,be BEL,FW,26-259,90,27,2,3,15,9,2,27,0,0,,0,,21,58,18,0,1,0,3,4,27,2
1,Andros Townsend,10.0,eng ENG,"FW,AM",26-034,90,34,1,8,14,12,0,34,3,2,66.7,1,33.3,28,206,33,2,1,0,5,6,27,7
2,Luka Milivojević,4.0,rs SRB,CM,26-134,76,38,3,15,21,2,0,38,1,1,100.0,0,0.0,23,70,17,0,0,0,0,2,20,0
3,Sullay Kaikai,25.0,sl SLE,CM,21-358,14,12,1,1,3,8,0,12,2,2,100.0,0,0.0,5,39,19,0,0,0,1,0,5,0
4,Jason Puncheon,42.0,eng ENG,CM,31-062,72,31,0,7,14,10,3,31,1,0,0.0,1,100.0,21,68,40,1,1,0,0,1,20,3
5,James McArthur,18.0,sct SCO,CM,29-316,18,9,1,3,3,3,0,9,0,0,,0,,6,39,2,0,0,0,0,0,4,0
6,Ruben Loftus-Cheek,8.0,eng ENG,"CM,AM",21-208,90,33,1,10,17,6,2,33,5,3,60.0,2,40.0,21,153,47,2,1,1,0,2,14,1
7,Patrick van Aanholt,3.0,nl NED,WB,26-355,83,37,8,18,9,10,1,37,1,0,0.0,1,100.0,19,107,33,1,0,0,1,2,10,3
8,Jeffrey Schlupp,15.0,gh GHA,WB,24-239,7,5,1,3,2,0,0,5,0,0,,0,,0,0,0,0,0,0,0,0,1,0
9,Joel Ward,2.0,eng ENG,WB,27-294,90,52,2,24,17,12,0,52,1,0,0.0,1,100.0,19,62,8,0,0,0,2,0,20,4
10,James Tomkins,5.0,eng ENG,CB,28-143,90,28,4,17,10,1,1,28,0,0,,0,,12,48,11,0,1,0,0,0,11,0
11,Scott Dann,6.0,eng ENG,CB,30-186,90,40,10,20,17,3,0,40,0,0,,0,,16,67,23,0,0,0,0,0,15,1
12,Timothy Fosu-Mensah,24.0,nl NED,CB,19-229,90,33,6,16,18,0,0,33,2,2,100.0,0,0.0,16,70,25,0,0,0,0,1,12,0
13,Wayne Hennessey,13.0,wls WAL,GK,30-207,90,51,41,49,2,0,0,51,0,0,,0,,24,210,144,0,0,0,0,0,9,0
14,14 Players,,,,,990,430,81,194,162,76,9,430,16,10,62.5,6,37.5,231,1197,420,6,5,1,12,18,195,21
