,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Manolo Gabbiadini,20.0,it ITA,FW,25-266,79,29,1,2,11,16,4,29,1,0,0.0,1,100.0,16,55,9,0,1,0,1,0,24,9
1,Charlie Austin,10.0,eng ENG,FW,28-045,11,7,0,0,2,5,1,6,0,0,,0,,4,8,6,0,1,0,1,1,6,1
2,Nathan Redmond,22.0,eng ENG,LW,23-166,90,41,0,1,12,29,2,41,1,1,100.0,0,0.0,35,167,74,2,3,1,1,3,40,9
3,Dušan Tadić,11.0,rs SRB,"RW,AM",28-272,90,61,0,4,18,39,6,60,1,0,0.0,1,100.0,46,209,153,5,4,2,2,1,48,19
4,Steven Davis,8.0,nir NIR,"AM,DM",32-230,79,68,0,1,40,28,1,68,1,1,100.0,0,0.0,48,264,155,5,5,1,1,1,58,6
5,Shane Long,7.0,ie IRL,DM,30-209,11,6,1,1,3,2,1,6,0,0,,0,,6,7,1,0,0,0,0,1,6,1
6,Mario Lemina,18.0,ga GAB,DM,23-352,64,61,3,14,44,3,0,61,0,0,,0,,44,225,142,2,1,0,1,0,45,0
7,James Ward-Prowse,16.0,eng ENG,RW,22-291,26,28,0,0,9,19,0,28,0,0,,0,,18,107,72,2,4,0,0,0,21,5
8,Oriol Romeu,14.0,es ESP,DM,25-329,90,113,1,13,86,15,1,113,0,0,,0,,79,433,303,7,4,0,1,2,82,1
9,Ryan Bertrand,21.0,eng ENG,LB,28-014,90,75,1,18,38,20,2,75,1,0,0.0,1,100.0,50,227,114,2,1,0,0,0,48,10
10,Maya Yoshida,3.0,jp JPN,CB,28-360,90,68,8,32,33,4,0,68,0,0,,0,,45,227,141,1,1,0,0,0,45,1
11,Jack Stephens,5.0,eng ENG,CB,23-204,90,55,3,25,30,1,0,55,0,0,,0,,36,234,189,1,1,0,0,0,36,0
12,Cédric Soares,2.0,pt POR,RB,25-353,90,57,1,7,19,31,5,57,1,1,100.0,0,0.0,29,138,86,2,3,0,1,0,36,12
13,Fraser Forster,44.0,eng ENG,GK,29-155,90,25,21,25,0,0,0,25,0,0,,0,,10,64,54,0,0,0,0,0,5,0
14,14 Players,,,,,990,694,40,143,345,212,23,692,6,3,50.0,3,50.0,466,2365,1499,29,29,4,9,9,500,74
