,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Tackles,Tackles,Tackles,Tackles,Tackles,Challenges,Challenges,Challenges,Challenges,Blocks,Blocks,Blocks,Unnamed: 18_level_0,Unnamed: 19_level_0,Unnamed: 20_level_0,Unnamed: 21_level_0
,Player,#,Nation,Pos,Age,Min,Tkl,TklW,Def 3rd,Mid 3rd,Att 3rd,Tkl,Att,Tkl%,Lost,Blocks,Sh,Pass,Int,Tkl+Int,Clr,Err
0,Gabriel Jesus,33.0,br BRA,FW,20-131,77,1,0,1,0,0,0,1,0.0,1,0,0,0,0,1,0,0
1,Raheem Sterling,7.0,eng ENG,FW,22-247,13,0,0,0,0,0,0,1,0.0,1,0,0,0,0,0,0,0
2,Sergio Agüero,10.0,ar ARG,FW,29-071,82,1,0,0,1,0,0,0,,0,1,0,1,0,1,0,0
3,Bernardo Silva,20.0,pt POR,FW,23-002,8,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,0
4,Danilo,3.0,br BRA,LW,26-028,67,1,1,1,0,0,0,0,,0,0,0,0,0,1,1,0
5,Leroy Sané,19.0,de GER,LW,21-213,23,1,1,1,0,0,1,1,100.0,0,0,0,0,0,1,0,0
6,Kyle Walker,2.0,eng ENG,RW,27-076,90,1,0,1,0,0,0,0,,0,0,0,0,0,1,0,0
7,David Silva,21.0,es ESP,CM,31-216,90,1,1,0,1,0,1,3,33.3,2,0,0,0,2,3,0,0
8,Kevin De Bruyne,17.0,be BEL,CM,26-045,90,2,2,1,1,0,0,1,0.0,1,3,0,3,0,2,0,0
9,Fernandinho,25.0,br BRA,DM,32-100,90,0,0,0,0,0,0,2,0.0,2,1,0,1,2,2,1,0
10,Nicolás Otamendi,30.0,ar ARG,CB,29-181,90,1,1,1,0,0,0,0,,0,1,0,1,2,3,4,0
11,John Stones,5.0,eng ENG,CB,23-076,90,0,0,0,0,0,0,0,,0,1,0,1,0,0,2,0
12,Vincent Kompany,4.0,be BEL,CB,31-124,90,1,0,0,1,0,0,0,,0,2,2,0,3,4,0,0
13,Ederson,31.0,br BRA,GK,23-360,90,0,0,0,0,0,0,0,,0,0,0,0,0,0,0,1
14,14 Players,,,,,990,10,6,6,4,0,2,9,22.2,7,9,2,7,9,19,8,1
