,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Touches,Touches,Touches,Touches,Touches,Touches,Touches,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Take-Ons,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Carries,Receiving,Receiving
,Player,#,Nation,Pos,Age,Min,Touches,Def Pen,Def 3rd,Mid 3rd,Att 3rd,Att Pen,Live,Att,Succ,Succ%,Tkld,Tkld%,Carries,TotDist,PrgDist,PrgC,1/3,CPA,Mis,Dis,Rec,PrgR
0,Alexandre Lacazette,9.0,fr FRA,"FW,LW,LM",26-075,90,34,1,2,9,23,6,34,1,1,100.0,0,0.0,19,50,27,1,0,1,2,2,25,10
1,Danny Welbeck,23.0,eng ENG,"AM,FW",26-258,74,31,1,6,7,18,5,31,2,2,100.0,0,0.0,18,130,47,3,1,2,1,4,22,6
2,Theo Walcott,14.0,eng ENG,RW,28-148,16,3,0,1,0,2,0,3,0,0,,0,,2,12,11,0,0,0,0,0,2,0
3,Mesut Özil,11.0,de GER,"AM,RM",28-300,90,95,1,9,34,53,3,95,2,2,100.0,0,0.0,69,390,132,3,7,0,3,3,83,17
4,Granit Xhaka,29.0,ch SUI,"CM,DM",24-318,90,114,1,13,67,34,0,114,1,1,100.0,0,0.0,80,331,200,4,4,0,1,0,89,2
5,Mohamed Elneny,35.0,eg EGY,CM,25-031,66,82,3,15,48,19,0,82,0,0,,0,,57,225,97,0,1,0,1,2,64,2
6,Aaron Ramsey,8.0,wls WAL,"DM,CM",26-228,24,19,0,3,6,10,3,19,0,0,,0,,13,63,24,0,0,0,1,0,14,2
7,Alex Oxlade-Chamberlain,15.0,eng ENG,"WB,RB",23-361,90,84,1,21,34,34,2,84,9,8,88.9,1,11.1,54,575,348,9,8,2,1,1,51,7
8,Héctor Bellerín,24.0,es ESP,"WB,LB",22-145,90,79,2,19,26,35,5,79,3,1,33.3,2,66.7,51,218,97,1,2,1,1,2,53,11
9,Sead Kolašinac,31.0,ba BIH,CB,24-052,90,81,3,16,52,15,4,81,1,1,100.0,0,0.0,49,414,334,7,5,1,0,0,49,1
10,Nacho Monreal,18.0,es ESP,CB,31-166,90,70,9,37,32,1,0,70,0,0,,0,,43,243,98,1,1,0,0,0,45,0
11,Rob Holding,16.0,eng ENG,CB,21-325,66,75,7,37,34,4,0,75,0,0,,0,,50,299,227,1,3,0,0,0,46,0
12,Olivier Giroud,12.0,fr FRA,FW,30-315,24,9,0,0,5,4,2,9,0,0,,0,,5,15,13,1,0,0,0,0,10,3
13,Petr Čech,33.0,cz CZE,GK,35-083,90,25,21,24,1,0,0,25,0,0,,0,,9,50,31,0,0,0,0,0,9,0
14,14 Players,,,,,990,801,50,203,355,252,30,801,19,16,84.2,3,15.8,519,3015,1686,31,32,7,11,14,562,61
