,Unnamed: 0_level_0,Unnamed: 1_level_0,Unnamed: 2_level_0,Unnamed: 3_level_0,Unnamed: 4_level_0,Unnamed: 5_level_0,Total,Total,Total,Total,Total,Short,Short,Short,Medium,Medium,Medium,Long,Long,Long,Unnamed: 20_level_0,Unnamed: 21_level_0,Unnamed: 22_level_0,Unnamed: 23_level_0,Unnamed: 24_level_0,Unnamed: 25_level_0,Unnamed: 26_level_0,Unnamed: 27_level_0
,Player,#,Nation,Pos,Age,Min,Cmp,Att,Cmp%,TotDist,PrgDist,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Cmp,Att,Cmp%,Ast,xAG,xA,KP,1/3,PPA,CrsPA,PrgP
0,Steve Mounié,24.0,bj BEN,FW,22-325,90,12,23,52.2,148,13,10,15,66.7,2,6,33.3,0,0,,0,0.1,0.0,2,1,1,0,1
1,Rajiv van La Parra,17.0,nl NED,LW,26-077,68,17,23,73.9,229,51,11,12,91.7,6,9,66.7,0,0,,0,0.0,0.0,0,0,0,0,1
2,Collin Quaner,23.0,de GER,"RW,LM",26-063,22,7,9,77.8,66,15,3,3,100.0,2,3,66.7,0,1,0.0,0,0.0,0.0,0,0,0,0,1
3,Elias Kachunga,9.0,cd COD,"RW,LW",25-120,71,14,23,60.9,187,26,10,14,71.4,4,6,66.7,0,1,0.0,1,0.1,0.0,1,1,0,0,2
4,Kasey Palmer,45.0,jm JAM,"AM,RM",20-284,19,1,2,50.0,20,0,0,0,,1,1,100.0,0,0,,0,0.0,0.0,0,0,0,0,0
5,Tom Ince,22.0,eng ENG,"AM,LW",25-202,89,26,35,74.3,336,108,20,21,95.2,5,6,83.3,0,2,0.0,0,0.0,0.0,0,0,1,0,5
6,Michael Hefele,44.0,de GER,CB,26-353,1,0,1,0.0,0,0,0,0,,0,0,,0,0,,0,0.0,0.0,0,0,0,0,0
7,Philip Billing,8.0,dk DEN,"DM,CM",21-070,90,49,60,81.7,906,183,22,26,84.6,20,21,95.2,6,10,60.0,0,0.0,0.0,0,0,0,0,1
8,Aaron Mooy,10.0,au AUS,"DM,CM",26-339,90,49,62,79.0,813,242,26,30,86.7,16,19,84.2,7,11,63.6,0,0.0,0.1,0,3,1,0,10
9,Chris Löwe,15.0,de GER,LB,28-126,90,52,65,80.0,924,161,21,21,100.0,28,36,77.8,2,5,40.0,0,0.0,0.0,0,3,0,0,3
10,Christopher Schindler,26.0,de GER,CB,27-113,90,62,71,87.3,1386,413,10,12,83.3,41,43,95.3,11,16,68.8,0,0.0,0.0,0,1,0,0,3
11,Mathias Jørgensen,25.0,dk DEN,CB,27-119,90,30,42,71.4,530,152,7,10,70.0,19,20,95.0,2,9,22.2,0,0.0,0.0,0,2,0,0,3
12,Tommy Smith,2.0,eng ENG,RB,25-128,90,31,51,60.8,551,200,13,16,81.3,14,21,66.7,4,11,36.4,0,0.0,0.0,0,2,0,0,2
13,Jonas Lössl,1.0,dk DEN,GK,28-200,90,25,38,65.8,904,734,1,1,100.0,12,12,100.0,12,25,48.0,0,0.0,0.0,0,0,0,0,0
14,14 Players,,,,,990,375,505,74.3,7000,2298,154,181,85.1,170,203,83.7,44,91,48.4,1,0.1,0.2,3,13,3,0,32
